ID,FullName,BirthYear,Country,Username,Gmail,Password,Phone,Address
158023,Lionel Messi,1987,USA,lionelmessi1987,lionelmessi1987@gmail.com,#0000001A,9128702069,"777 Brockton Avenue, Abington, MA, 2351"
188545,Robert Lewandowski,1989,USA,robertlewandowski1989,robertlewandowski1989@gmail.com,#0000002B,9120202972,"30 Memorial Drive, Avon, MA, 2322"
20801,C. Ronaldo dos Santos Aveiro,1985,USA,cronaldodossantosaveiro1985,cronaldodossantosaveiro1985@gmail.com,#0000003C,9126591978,"250 Hartford Avenue, Bellingham, MA, 2019"
231747,Kylian Mbappé,1999,USA,kylianmbapp1999,kylianmbapp1999@gmail.com,#0000004D,9126470042,"700 Oak Street, Brockton, MA, 2301"
200389,Jan Oblak,1993,USA,janoblak1993,janoblak1993@gmail.com,#0000005E,9122266351,"66-4 Parkhurst Rd, Chelmsford, MA, 1824"
192985,Kevin De Bruyne,1991,USA,kevindebruyne1991,kevindebruyne1991@gmail.com,#0000006F,9129546487,"591 Memorial Dr, Chicopee, MA, 1020"
190871,Neymar da Silva Santos Jr.,1992,USA,neymardasilvasantosjr1992,neymardasilvasantosjr1992@gmail.com,#0000007G,9125873016,"55 Brooksby Village Way, Danvers, MA, 1923"
215914,N'Golo Kanté,1991,USA,ngolokant1991,ngolokant1991@gmail.com,#0000008H,9123767683,"137 Teaticket Hwy, East Falmouth, MA, 2536"
202126,Harry Kane,1994,USA,harrykane1994,harrykane1994@gmail.com,#0000009I,9124903470,"42 Fairhaven Commons Way, Fairhaven, MA, 2719"
192448,Marc-André ter Stegen,1992,USA,marcandrterstegen1992,marcandrterstegen1992@gmail.com,#0000010J,9126863047,"374 William S Canning Blvd, Fall River, MA, 2721"
167495,Manuel Neuer,1986,USA,manuelneuer1986,manuelneuer1986@gmail.com,#0000011K,9121338886,"121 Worcester Rd, Framingham, MA, 1701"
200104,Heung Min Son,1993,USA,heungminson1993,heungminson1993@gmail.com,#0000012L,9121058703,"677 Timpany Blvd, Gardner, MA, 1440"
200145,Carlos Henrique Venancio Casimiro,1992,USA,carloshenriquevenanciocasimiro1992,carloshenriquevenanciocasimiro1992@gmail.com,#0000013M,9127078301,"337 Russell St, Hadley, MA, 1035"
165153,Karim Benzema,1988,USA,karimbenzema1988,karimbenzema1988@gmail.com,#0000014N,9123333317,"295 Plymouth Street, Halifax, MA, 2338"
192119,Thibaut Courtois,1992,USA,thibautcourtois1992,thibautcourtois1992@gmail.com,#0000015O,9121760200,"1775 Washington St, Hanover, MA, 2339"
208722,Sadio Mané,1992,USA,sadioman1992,sadioman1992@gmail.com,#0000016P,9126344444,"280 Washington Street, Hudson, MA, 1749"
203376,Virgil van Dijk,1992,USA,virgilvandijk1992,virgilvandijk1992@gmail.com,#0000017Q,9122228998,"20 Soojian Dr, Leicester, MA, 1524"
230621,Gianluigi Donnarumma,1999,USA,gianluigidonnarumma1999,gianluigidonnarumma1999@gmail.com,#0000018R,9122860303,"11 Jungle Road, Leominster, MA, 1453"
209331,Mohamed Salah,1992,USA,mohamedsalah1992,mohamedsalah1992@gmail.com,#0000019S,9126405050,"301 Massachusetts Ave, Lunenburg, MA, 1462"
210257,Ederson Santana de Moraes,1994,USA,edersonsantanademoraes1994,edersonsantanademoraes1994@gmail.com,#0000020T,9126921000,"780 Lynnway, Lynn, MA, 1905"
212622,Joshua Kimmich,1995,USA,joshuakimmich1995,joshuakimmich1995@gmail.com,#0000021U,9123323223,"70 Pleasant Valley Street, Methuen, MA, 1844"
212831,Alisson Ramses Becker,1993,USA,alissonramsesbecker1993,alissonramsesbecker1993@gmail.com,#0000022V,9121444924,"830 Curran Memorial Hwy, North Adams, MA, 1247"
192505,Romelu Lukaku,1993,USA,romelulukaku1993,romelulukaku1993@gmail.com,#0000023W,9121007476,"1470 S Washington St, North Attleboro, MA, 2760"
155862,Sergio Ramos García,1986,USA,sergioramosgarca1986,sergioramosgarca1986@gmail.com,#0000024X,9124400045,"506 State Road, North Dartmouth, MA, 2747"
176580,Luis Suárez,1987,USA,luissurez1987,luissurez1987@gmail.com,#0000025Y,9121100078,"742 Main Street, North Oxford, MA, 1537"
182521,Toni Kroos,1990,USA,tonikroos1990,tonikroos1990@gmail.com,#0000026Z,9127008000,"72 Main St, North Reading, MA, 1864"
239085,Erling Haaland,2001,USA,erlinghaaland2001,erlinghaaland2001@gmail.com,#000027AA,9122252622,"200 Otis Street, Northborough, MA, 1532"
193041,Keylor Navas,1987,USA,keylornavas1987,keylornavas1987@gmail.com,#000028AB,9124448424,"180 North King Street, Northhampton, MA, 1060"
212198,Bruno Miguel Borges Fernandes,1995,USA,brunomiguelborgesfernandes1995,brunomiguelborgesfernandes1995@gmail.com,#000029AC,9122012004,"555 East Main St, Orange, MA, 1364"
202652,Raheem Sterling,1995,USA,raheemsterling1995,raheemsterling1995@gmail.com,#000030AD,9125068079,"555 Hubbard Ave-Suite 12, Pittsfield, MA, 1201"
199556,Marco Verratti,1993,USA,marcoverratti1993,marcoverratti1993@gmail.com,#000031AE,9120507565,"300 Colony Place, Plymouth, MA, 2360"
177003,Luka Modrić,1986,USA,lukamodri1986,lukamodri1986@gmail.com,#000032AF,9128474943,"301 Falls Blvd, Quincy, MA, 2169"
